Nom,Cognoms,DNI,País d'origen,Ciutat,Dia de Naixement,Mes de Naixement,Any de Naixement,Gènere,Salari mensual,Fills,No Fills,Grup Professional
Oriol,García Ferrer,21309247F,Espanya,Barcelona,9,12,2003,H,1.603 €,True,,Grup A
Michel,Dubois Dubois,92913286B,França,Lió,4,9,1979,H,1.095 €,,True,Grup A
Carla,Ferrer,71124235C,Espanya,Barcelona,27,10,1987,D,836 €,,True,Grup A
Toni,Castells Ferrer,14688639J,Espanya,Barcelona,15,11,1974,NC,1.840 €,,True,Grup B
Arnau,López Martínez,42839231P,Espanya,Barcelona,15,11,1972,H,1.587 €,,True,Grup A
Miguel,González,90781919E,Mèxic,Guadalajara,15,9,1955,H,1.174 €,,True,Grup A
Marc,Castells Sánchez,56867791S,Espanya,Barcelona,24,6,2000,H,1.398 €,,True,Grup B
Laia,Sánchez,80471691R,Espanya,Sevilla,3,3,1982,D,1.850 €,True,,Grup B
George,Jones Taylor,66854670R,Regne Unit,Londres,27,5,2000,NC,2.100 €,,True,Grup B
Marc,Martínez Martínez,43099073D,Espanya,Bilbao,4,1,2001,H,1.668 €,True,,Grup A
Núria,Castells,61862070S,Espanya,València,25,12,1992,D,2.023 €,True,,Grup B
Oriol,Romero Castells,71930041T,Espanya,València,25,4,1970,H,1.466 €,,True,Grup A
Jordi,Romero López,20637004R,Espanya,Sevilla,13,3,1973,H,1.366 €,,True,Grup A
Oriol,Romero Sánchez,59715366K,Espanya,Bilbao,6,2,1997,H,2.788 €,True,,Grup C
Luisa,González Cruz,91287275Z,Mèxic,Ciutat de Mèxic,20,11,1990,D,1.201 €,True,,Grup B
José,González,16777341F,Mèxic,Ciutat de Mèxic,16,8,1973,H,1.026 €,,True,Grup A
Oriol,Romero García,92774049Y,Espanya,Barcelona,5,9,1972,H,1.461 €,,True,Grup B
Oriol,Martínez,93432185G,Espanya,Sevilla,26,7,1957,H,2.282 €,,True,Grup B
Núria,Ferrer,20520614Y,Espanya,Barcelona,9,6,1959,NC,1.961 €,,True,Grup B
Clara,García,42280605C,Espanya,Sevilla,16,10,1951,D,1.429 €,True,,Grup B
Eva,García,38867232T,Espanya,València,28,9,1950,D,756 €,,True,Grup A
George,Taylor Taylor,15056420W,Regne Unit,Londres,8,9,1965,H,1.135 €,True,,Grup A
Carla,Ferrer,73661586C,Espanya,Sevilla,11,9,1955,D,2.060 €,True,,Grup C
Laia,Martínez,21786454M,Espanya,Barcelona,11,2,1951,D,1.306 €,,True,Grup A
Joan,Martínez Martínez,28269893J,Espanya,València,1,2,1960,H,1.010 €,,True,Grup A
Valentina,Rojas,66171387W,Colòmbia,Bogotà,6,9,1959,D,1.185 €,,True,Grup B
Sara,Torres Castro,26819385K,Colòmbia,Medellín,8,8,1987,D,1.045 €,,True,Grup A
James,Smith,66434842X,Regne Unit,Londres,1,6,1954,H,1.078 €,,True,Grup A
Laia,Martínez Romero,63679621R,Espanya,Barcelona,5,9,1958,D,1.045 €,,True,Grup A
Carla,Sánchez,59071537P,Espanya,Madrid,2,7,1990,D,1.522 €,True,,Grup B
Pau,Ferrer López,12700084Q,Espanya,Madrid,16,2,1966,NC,1.183 €,True,,Grup A
Marta,Romero García,17102266H,Espanya,València,3,4,1972,A,1.350 €,True,,Grup B
Valentina,Torres,21135917V,Colòmbia,Bogotà,14,1,1968,D,2.040 €,,True,Grup B
Marta,López,62868203H,Espanya,Madrid,26,8,1988,D,1.339 €,True,,Grup A
Jordi,Romero Martínez,47660164G,Espanya,Barcelona,11,6,1983,H,2.303 €,,True,Grup B
Laia,García,62152209S,Espanya,Madrid,9,8,1991,D,1.495 €,,True,Grup B
Anna,Ferrer Castells,29753711H,Espanya,Bilbao,18,8,1992,D,1.317 €,True,,Grup B
Toni,López,57378189F,Espanya,Madrid,12,10,1964,H,1.367 €,True,,Grup B
Marta,Ferrer Sánchez,79676573H,Espanya,València,18,3,1952,D,1.299 €,True,,Grup B
Marco,Russo,96964440V,Itàlia,Torí,13,7,1982,H,2.194 €,,True,Grup B
Carla,Romero Ferrer,94719538H,Espanya,Sevilla,28,5,1991,D,730 €,,True,Grup A
Laura,Castro Gutiérrez,57512928A,Colòmbia,Bogotà,18,2,1950,D,995 €,,True,Grup A
Carla,Romero López,80030295H,Espanya,Barcelona,23,5,2002,D,776 €,True,,Grup A
Eva,García,25373007Z,Espanya,Madrid,10,3,1971,NC,1.228 €,True,,Grup A
Lucas,Álvarez Álvarez,14889781M,Argentina,Còrdova,17,5,1981,H,1.912 €,True,,Grup B
Mia,Schneider Müller,90109014Q,Alemanya,Munic,28,3,1957,D,766 €,,True,Grup A
Élise,Lefevre,78532778V,França,París,7,11,1972,D,1.696 €,True,,Grup C
Arnau,García,16129804M,Espanya,València,11,2,1953,H,1.886 €,,True,Grup B
Arnau,López,92922593Z,Espanya,Madrid,4,4,1994,A,1.803 €,,True,Grup B
Élise,Dubois,93040786Z,França,Lió,4,12,1950,D,1.870 €,,True,Grup C
Jordi,García Romero,93244065C,Espanya,Barcelona,28,5,1952,H,2.547 €,True,,Grup C
Camila,Ramírez González,89271483K,Mèxic,Guadalajara,10,4,1965,D,1.853 €,,True,Grup B
Jordi,Romero Romero,54523654J,Espanya,València,11,6,1984,H,972 €,,True,Grup A
Andrés,Rojas Castro,25654945Y,Colòmbia,Medellín,20,9,1974,H,2.397 €,,True,Grup C
Laia,Ferrer,59372221S,Espanya,Bilbao,22,5,1978,D,1.218 €,,True,Grup B
Marta,Romero,61477292C,Espanya,Bilbao,8,7,1978,D,1.846 €,,True,Grup B
Arnau,Martínez,65882859J,Espanya,Sevilla,3,6,1962,H,1.844 €,True,,Grup C
Eva,Castells Romero,86419307C,Espanya,Bilbao,25,7,1988,D,2.433 €,True,,Grup D
Marta,Romero Castells,14486584J,Espanya,València,12,12,1988,D,835 €,,True,Grup A
Lucía,Fernández,74694535Z,Argentina,Buenos Aires,8,8,1953,D,764 €,,True,Grup A
Toni,García Ferrer,29043853R,Espanya,València,22,9,1988,H,1.018 €,,True,Grup A
Carla,Sánchez,98830242H,Espanya,Sevilla,2,1,1952,D,1.786 €,,True,Grup C
Amina,Zahraoui Fassi,87981337P,Marroc,Casablanca,20,1,1984,D,1.107 €,,True,Grup A
Carla,Romero,37195438N,Espanya,Madrid,8,11,1991,D,2.517 €,True,,Grup C
Pau,Castells,26427399L,Espanya,Barcelona,22,1,1986,H,2.208 €,,True,Grup C
Toni,Romero,44910416G,Espanya,València,17,2,2003,H,1.624 €,True,,Grup A
Eva,López,60957935K,Espanya,Bilbao,26,12,1964,D,1.214 €,,True,Grup A
Louis,Girard Lefevre,57544317R,França,Marsella,26,3,1983,H,1.009 €,True,,Grup A
Jordi,García,38593878Z,Espanya,Bilbao,11,1,1950,H,994 €,,True,Grup A
Marta,López,57180085D,Espanya,Sevilla,25,8,1971,D,1.056 €,True,,Grup A
Arnau,Ferrer García,23492566L,Espanya,Sevilla,17,3,1989,H,1.377 €,,True,Grup A
Clara,Ferrer Martínez,13998302S,Espanya,Sevilla,24,5,1951,D,1.767 €,,True,Grup B
Salma,El Amrani,47351659S,Marroc,Casablanca,12,10,1987,D,1.414 €,,True,Grup A
María,González Hernández,72888019J,Mèxic,Ciutat de Mèxic,14,7,1965,D,1.615 €,,True,Grup B
Carla,García,37774950Y,Espanya,Barcelona,25,10,1952,D,950 €,,True,Grup A
Marc,Sánchez Castells,99123197C,Espanya,Sevilla,21,3,1980,H,1.279 €,,True,Grup B
Núria,García,37655961A,Espanya,Barcelona,2,5,1989,D,1.627 €,True,,Grup B
Laia,López,50292113M,Espanya,Madrid,21,4,1984,D,1.179 €,True,,Grup B
William,Brown Smith,65737147M,Regne Unit,Londres,17,7,1959,H,1.147 €,True,,Grup A
Clara,Castells Romero,16112726L,Espanya,Barcelona,4,1,1999,D,1.392 €,True,,Grup A
Joan,Martínez,53518484J,Espanya,Barcelona,14,9,1999,H,2.725 €,,True,Grup C
Carla,García,68186758D,Espanya,Barcelona,6,10,2001,D,1.962 €,True,,Grup B
Pau,Castells,66520712S,Espanya,Barcelona,1,7,1972,H,1.006 €,,True,Grup A
Núria,Romero Martínez,10882370B,Espanya,València,16,3,2004,D,1.378 €,True,,Grup B
Sophie,Moreau Lefevre,89173930Q,França,Marsella,11,1,1995,D,1.742 €,True,,Grup B
Jordi,López,47195129C,Espanya,València,24,10,1954,H,1.055 €,,True,Grup A
João,Oliveira Ferreira,18575690Y,Portugal,Lisboa,21,3,1985,H,1.225 €,,True,Grup A
Andrés,Castro,15387541Y,Colòmbia,Medellín,8,3,2000,A,996 €,,True,Grup A
Anna,Castells,57892591M,Espanya,Barcelona,2,1,1951,D,919 €,,True,Grup A
Núria,Ferrer Romero,50829502T,Espanya,Sevilla,16,3,1989,D,1.257 €,,True,Grup B
Clara,García,25403469P,Espanya,Sevilla,19,8,1998,D,747 €,,True,Grup A
Arnau,López López,53457611N,Espanya,Bilbao,6,6,1991,H,1.382 €,,True,Grup B
Marc,López,94076717B,Espanya,Sevilla,8,2,1987,NC,2.969 €,,True,Grup D
Clara,Romero López,59779704A,Espanya,Barcelona,8,12,1985,D,1.385 €,True,,Grup B
Carla,López Sánchez,35566470L,Espanya,Bilbao,11,10,1961,D,1.626 €,True,,Grup B
Lucía,Fernández,91347406Y,Argentina,Buenos Aires,28,11,1978,NC,758 €,,True,Grup A
Toni,Ferrer,93122931K,Espanya,Bilbao,5,9,1957,H,1.415 €,,True,Grup B
Anna,Castells Martínez,63960462M,Espanya,Bilbao,6,3,1959,D,1.561 €,True,,Grup B
Núria,Ferrer,45074340P,Espanya,Barcelona,27,10,1977,D,1.123 €,,True,Grup A
Mia,Fischer,43756083N,Alemanya,Munic,8,9,1953,D,1.666 €,,True,Grup B
Eva,Romero Romero,82052269P,Espanya,Sevilla,26,2,1954,D,1.732 €,,True,Grup C
Arnau,Ferrer Sánchez,17966918Y,Espanya,Madrid,17,7,1964,H,2.311 €,,True,Grup C
Sara,Gutiérrez,75892043S,Colòmbia,Bogotà,12,6,1954,D,2.656 €,True,,Grup C
Camille,Moreau,29471837G,França,París,6,2,1957,D,797 €,,True,Grup A
Oriol,Martínez Martínez,13508244R,Espanya,Sevilla,21,3,1951,H,1.466 €,,True,Grup A
Sophie,Jones,25331092S,Regne Unit,Londres,26,1,1963,D,684 €,,True,Grup A
Núria,Martínez Romero,28171073A,Espanya,Bilbao,9,7,1965,D,1.619 €,True,,Grup B
Sara,Torres Castro,17164182B,Colòmbia,Medellín,25,2,1992,D,1.334 €,True,,Grup B
Marc,García Ferrer,89805468T,Espanya,València,21,5,1968,H,2.143 €,True,,Grup C
Marco,Conti Russo,10352133N,Itàlia,Torí,28,1,2005,H,2.002 €,,True,Grup B
Joan,Martínez Sánchez,63108914N,Espanya,València,18,2,1986,H,3.318 €,True,,Grup D
Miguel,Silva,29550519X,Portugal,Lisboa,12,6,1971,NC,897 €,,True,Grup A
Ali,Bennani,94310395L,Marroc,Casablanca,22,3,1980,H,2.160 €,True,,Grup B
Laia,Ferrer Martínez,85031552D,Espanya,Sevilla,23,10,1962,D,1.408 €,True,,Grup A
Laura,Rojas,87427498D,Colòmbia,Medellín,9,5,1969,D,988 €,,True,Grup A
Arnau,Ferrer Sánchez,19404501Z,Espanya,Bilbao,6,11,1969,H,1.332 €,True,,Grup A
Carla,Sánchez López,17972901L,Espanya,Sevilla,11,6,1989,D,1.081 €,True,,Grup A
Toni,López,67320503B,Espanya,Bilbao,26,1,1998,H,1.862 €,,True,Grup C
Núria,López,92286029R,Espanya,Sevilla,5,5,1977,D,1.024 €,,True,Grup A
Marc,Ferrer García,13299063V,Espanya,València,21,4,1996,H,1.618 €,,True,Grup B
Miguel,Cruz,66183009R,Mèxic,Guadalajara,28,9,1955,H,1.256 €,True,,Grup A
Marc,López Martínez,90904549G,Espanya,Madrid,18,11,2004,H,1.275 €,True,,Grup A
Laia,Ferrer,19631537S,Espanya,Barcelona,21,12,1987,D,2.825 €,True,,Grup D
Pau,López García,93623062E,Espanya,Sevilla,4,7,1992,H,1.668 €,,True,Grup A
Joan,Romero Martínez,67537453P,Espanya,Bilbao,24,12,1985,H,1.764 €,,True,Grup B
Francesca,Ferrari,73587985T,Itàlia,Torí,25,3,1999,D,1.045 €,True,,Grup A
Toni,García García,48610709N,Espanya,Madrid,9,6,1958,H,1.400 €,True,,Grup A
Laia,García García,27295557B,Espanya,Madrid,8,12,1972,D,2.225 €,True,,Grup C
Laia,Sánchez López,10624826J,Espanya,Bilbao,5,8,1972,D,2.964 €,,True,Grup D
Anna,López,37416719D,Espanya,Bilbao,17,6,1995,D,1.330 €,True,,Grup A
Toni,Sánchez Sánchez,91797004K,Espanya,Sevilla,16,7,1950,H,1.294 €,,True,Grup A
Marta,Romero Ferrer,97299170Q,Espanya,Barcelona,7,2,1962,D,1.336 €,True,,Grup B
Carla,Castells Castells,98511923W,Espanya,Sevilla,22,6,1979,D,1.845 €,,True,Grup B
Laia,Ferrer Romero,20460695D,Espanya,Sevilla,25,8,1951,D,1.303 €,True,,Grup A
Amina,El Amrani,27053674Z,Marroc,Rabat,25,1,1959,D,854 €,True,,Grup A
Arnau,Martínez,50115394L,Espanya,Bilbao,25,4,1959,H,1.372 €,True,,Grup B
Jordi,Romero García,88308185F,Espanya,Bilbao,19,12,1984,H,1.535 €,True,,Grup A
Carla,Sánchez Romero,59487847J,Espanya,València,17,10,1959,D,2.405 €,True,,Grup C
Clara,López García,47905259N,Espanya,València,13,10,1988,D,825 €,True,,Grup A
Laura,Castro,54313717Q,Colòmbia,Medellín,19,6,1958,D,1.484 €,,True,Grup A
Clara,Sánchez Ferrer,38394682L,Espanya,Madrid,21,4,1963,D,1.324 €,True,,Grup A
Matías,Rodríguez,33214782A,Argentina,Buenos Aires,12,6,1950,NC,1.055 €,,True,Grup A
Jordi,Sánchez Ferrer,30011388C,Espanya,Madrid,2,4,1977,H,1.014 €,,True,Grup A
Clara,García Martínez,31274825R,Espanya,Sevilla,2,9,1986,D,2.396 €,,True,Grup D
Marc,Martínez García,14828163F,Espanya,Sevilla,12,3,1965,H,1.585 €,,True,Grup A
Marta,Romero,15838881W,Espanya,Sevilla,26,10,2002,D,1.291 €,True,,Grup B
Camille,Girard Lefevre,88164399Q,França,París,26,1,2001,D,1.521 €,True,,Grup B
Marta,Castells,19356603P,Espanya,Barcelona,2,10,2003,D,2.683 €,,True,Grup D
Florencia,Rodríguez Álvarez,19313369G,Argentina,Còrdova,27,11,1999,D,3.014 €,,True,Grup D
Carla,López,83561180C,Espanya,Bilbao,7,7,2003,D,1.760 €,True,,Grup B
Toni,Castells Romero,80116589E,Espanya,València,26,8,1988,H,1.292 €,True,,Grup B
Anna,Müller,83274277X,Alemanya,Hamburg,1,1,1987,D,2.464 €,,True,Grup C
Leon,Schneider,70945038M,Alemanya,Munic,5,5,1981,H,1.672 €,,True,Grup B
María,Cruz,93868679R,Mèxic,Guadalajara,23,6,1978,D,746 €,True,,Grup A
Laura,Schneider Müller,26634596X,Alemanya,Munic,28,11,1990,D,2.778 €,,True,Grup D
Núria,Martínez,59909991M,Espanya,Barcelona,19,6,1981,D,1.939 €,,True,Grup C
Carla,Martínez Sánchez,53118513Z,Espanya,Madrid,6,2,2004,D,689 €,True,,Grup A
Joan,López Ferrer,55213721K,Espanya,Barcelona,21,6,1951,H,2.789 €,,True,Grup C
Daniel,Gutiérrez Castro,17523109M,Colòmbia,Bogotà,8,7,1951,H,2.642 €,,True,Grup C
Isla,Brown Jones,58817861M,Regne Unit,Londres,5,3,1954,A,2.280 €,True,,Grup C
Laura,Schmidt Müller,60161784X,Alemanya,Hamburg,15,6,1987,NC,2.035 €,True,,Grup C
Marta,García,66590677S,Espanya,Bilbao,19,8,1950,D,1.431 €,,True,Grup B
Tomás,Gómez,89545864F,Argentina,Còrdova,19,1,1996,H,1.104 €,True,,Grup A
Pau,Castells,70113350T,Espanya,Bilbao,17,4,1952,NC,1.117 €,,True,Grup A
Carla,Sánchez,53672811D,Espanya,València,6,3,1957,D,2.951 €,True,,Grup D
Francesca,Ferrari Ferrari,67472696R,Itàlia,Torí,21,4,1990,NC,1.316 €,,True,Grup B
Jean,Moreau Girard,19178233C,França,Marsella,12,11,1989,H,866 €,,True,Grup A
Clara,López,30289780L,Espanya,València,17,2,1951,D,2.917 €,True,,Grup D
Arnau,López Sánchez,34121407E,Espanya,Barcelona,22,5,1951,H,1.690 €,True,,Grup C
Núria,Martínez Ferrer,79349076S,Espanya,Barcelona,7,11,1991,D,1.506 €,,True,Grup B
Oriol,Castells,66268793B,Espanya,Barcelona,8,7,1950,H,2.780 €,True,,Grup C
Laia,Martínez López,35909931K,Espanya,València,17,5,1976,D,1.179 €,True,,Grup A
Joan,García,50085415G,Espanya,Madrid,22,10,2000,H,2.067 €,,True,Grup B
Oriol,Castells,88571285P,Espanya,Bilbao,13,4,1972,H,1.592 €,True,,Grup B
Jordi,Ferrer López,53588164S,Espanya,Madrid,13,9,1955,H,1.691 €,True,,Grup B
Anna,Romero,75690264M,Espanya,València,17,11,1976,D,1.286 €,,True,Grup A
Daniel,Castro Torres,27395242L,Colòmbia,Bogotà,5,4,1992,H,1.010 €,True,,Grup A
Marc,López Sánchez,29092175V,Espanya,Sevilla,11,4,1968,H,1.315 €,,True,Grup B
Marta,López Sánchez,97241617V,Espanya,Madrid,17,5,1992,D,1.871 €,True,,Grup B
Youssef,Fassi El Amrani,72488520Y,Marroc,Rabat,26,5,1968,H,995 €,True,,Grup A
Miguel,Ferreira,87072861Y,Portugal,Porto,19,2,1990,H,1.202 €,,True,Grup A
Inês,Silva Oliveira,99946609J,Portugal,Porto,11,2,1986,D,953 €,,True,Grup A
Marc,García López,77786231R,Espanya,Madrid,11,8,1963,H,1.024 €,,True,Grup A
Laia,Romero,18736805D,Espanya,Barcelona,17,4,1962,D,1.761 €,,True,Grup C
Daniel,Rojas Castro,16349607A,Colòmbia,Medellín,7,10,1952,H,799 €,True,,Grup A
Eva,Sánchez Castells,28923859R,Espanya,Bilbao,23,9,1987,D,2.616 €,True,,Grup C
Pau,García Romero,67448348B,Espanya,Madrid,27,12,1983,H,2.821 €,,True,Grup D
Anna,Ferrer,19835344L,Espanya,Madrid,8,5,1966,D,767 €,,True,Grup A
Jordi,García García,35978728B,Espanya,València,18,6,1967,H,2.391 €,True,,Grup C
Toni,Castells,44603694F,Espanya,València,4,9,1964,H,1.297 €,,True,Grup B
Núria,Ferrer,50351415W,Espanya,Barcelona,19,9,2001,D,1.147 €,True,,Grup B
Núria,Romero Castells,72548015K,Espanya,València,10,4,1996,NC,776 €,,True,Grup A
Toni,López,63645871Q,Espanya,Barcelona,27,9,1979,NC,861 €,,True,Grup A
Marc,Romero,83461359C,Espanya,Madrid,2,8,1984,H,1.635 €,,True,Grup B
Núria,Martínez Ferrer,59804478P,Espanya,Bilbao,27,3,1965,D,2.293 €,,True,Grup C
Arnau,Romero,46470158A,Espanya,Bilbao,26,6,1951,H,3.329 €,True,,Grup D
Marta,López,12689894Z,Espanya,Bilbao,24,7,1967,D,1.421 €,,True,Grup A
Oriol,Ferrer,17266104D,Espanya,Madrid,9,7,1985,A,726 €,,True,Grup A
Laia,Castells López,63487190Q,Espanya,Barcelona,15,11,1969,D,1.482 €,,True,Grup B
Núria,Romero,15071348H,Espanya,València,11,6,1951,D,712 €,,True,Grup A
Inês,Silva,93757958D,Portugal,Lisboa,20,8,1990,D,1.121 €,True,,Grup A
Marc,Castells,52501105S,Espanya,Bilbao,11,9,1984,H,1.844 €,,True,Grup C
Eva,Castells Martínez,89757860E,Espanya,Barcelona,15,7,1996,D,1.370 €,True,,Grup B
Lukas,Müller Fischer,60982309S,Alemanya,Hamburg,28,3,1971,H,2.042 €,,True,Grup B
Marta,Ferrer,49562152B,Espanya,Madrid,25,5,1976,D,1.922 €,,True,Grup B
Clara,Romero,89595235W,Espanya,Sevilla,23,3,1999,D,758 €,,True,Grup A
Núria,Ferrer,71304182R,Espanya,Bilbao,17,3,1979,D,1.219 €,True,,Grup A
Laia,Romero,32909990R,Espanya,Sevilla,18,5,1960,D,1.354 €,,True,Grup B
Jordi,Castells,15228560C,Espanya,Barcelona,19,7,1978,H,1.541 €,,True,Grup A
Toni,Ferrer,44724403H,Espanya,Bilbao,20,2,1980,H,1.454 €,,True,Grup B
Laia,García Ferrer,54525691Y,Espanya,Bilbao,19,1,1970,D,1.765 €,,True,Grup B
Beatriz,Oliveira Ferreira,74821823F,Portugal,Lisboa,5,9,1985,D,1.548 €,True,,Grup B
Alessia,Russo,20214876P,Itàlia,Torí,28,11,1954,D,969 €,True,,Grup A
Florencia,Gómez,61343247E,Argentina,Còrdova,8,7,1984,NC,1.594 €,,True,Grup A
Pau,Martínez López,36334567G,Espanya,València,19,12,1994,H,1.498 €,,True,Grup A
Arnau,Ferrer Romero,41974885N,Espanya,València,13,7,1958,H,1.786 €,True,,Grup B
Laia,Romero,47691452T,Espanya,València,18,7,1950,D,1.007 €,,True,Grup A
Pau,Sánchez,48127366Y,Espanya,València,26,5,1954,H,1.411 €,,True,Grup A
Daniel,Castro,49287703B,Colòmbia,Medellín,13,10,1956,H,1.207 €,True,,Grup A
Santiago,Gutiérrez Torres,78223675H,Colòmbia,Medellín,4,12,1959,H,2.238 €,True,,Grup B
Jordi,Ferrer,82418527A,Espanya,Barcelona,28,6,2002,H,961 €,,True,Grup A
María,Cruz,75949005H,Mèxic,Guadalajara,27,1,1963,D,2.413 €,,True,Grup C
Salma,Zahraoui,65339008Z,Marroc,Casablanca,20,12,1971,D,1.399 €,True,,Grup A
Gabriela,Ramírez,64394445D,Mèxic,Ciutat de Mèxic,19,2,1990,D,1.569 €,True,,Grup B
Joan,Martínez Romero,72374089J,Espanya,Sevilla,20,4,1994,NC,1.835 €,,True,Grup C
Carla,Martínez,18457673C,Espanya,València,17,4,1999,D,1.281 €,,True,Grup B
Clara,Castells,91690612P,Espanya,Madrid,15,3,1981,D,1.519 €,True,,Grup A
Youssef,El Amrani Fassi,33585026G,Marroc,Rabat,13,10,1981,H,1.785 €,,True,Grup B
Eva,García Ferrer,32219930D,Espanya,València,22,2,1991,D,665 €,True,,Grup A
Martina,Rodríguez Gómez,90216535S,Argentina,Buenos Aires,10,3,1978,D,1.292 €,True,,Grup B
Antoine,Lefevre,74822167B,França,Marsella,1,10,1953,H,1.745 €,,True,Grup B
Eva,Ferrer Romero,23955973V,Espanya,Bilbao,19,5,1976,D,1.412 €,,True,Grup B
Pau,Castells,18479670K,Espanya,Barcelona,14,9,1991,H,1.564 €,,True,Grup A
Joan,Ferrer,75340954W,Espanya,Bilbao,21,5,1981,NC,1.408 €,,True,Grup A
Joan,Martínez Romero,68247465J,Espanya,Sevilla,4,7,1971,H,2.975 €,,True,Grup D
Joan,Martínez Castells,24238964E,Espanya,Barcelona,22,7,1987,H,1.165 €,,True,Grup A
Toni,Castells Castells,12767161T,Espanya,Madrid,20,3,1950,H,1.533 €,,True,Grup A
Marta,López,30932082P,Espanya,Bilbao,2,9,1954,A,1.922 €,True,,Grup C
Carla,Ferrer Castells,74074321A,Espanya,Sevilla,2,8,1957,D,1.091 €,True,,Grup A
Toni,Ferrer,46145725B,Espanya,Barcelona,24,8,1972,H,1.667 €,True,,Grup A
Marc,Romero Ferrer,82680101W,Espanya,València,22,9,1993,H,1.743 €,True,,Grup C
Jordi,García,97294667E,Espanya,Barcelona,3,1,1975,H,966 €,True,,Grup A
Francesca,Russo,35241609K,Itàlia,Torí,9,11,1986,D,1.344 €,True,,Grup A
Arnau,Sánchez Martínez,87906075W,Espanya,Madrid,12,11,2003,H,766 €,,True,Grup A
Amina,Fassi,31059050X,Marroc,Casablanca,13,12,1971,NC,1.460 €,,True,Grup A
Fatima,Zahraoui El Amrani,60378955C,Marroc,Rabat,27,1,1986,D,1.312 €,,True,Grup A
Lucas,Fernández Álvarez,72168409M,Argentina,Còrdova,27,4,1993,H,1.992 €,True,,Grup B
Julieta,Rodríguez,44215821L,Argentina,Buenos Aires,24,7,1979,D,1.181 €,,True,Grup B
Oriol,Martínez,53071392K,Espanya,Barcelona,9,7,2002,H,2.019 €,True,,Grup C
Jordi,Ferrer,23058334Y,Espanya,Sevilla,5,3,1993,H,1.653 €,True,,Grup B
Arnau,Sánchez Sánchez,48242975Q,Espanya,Sevilla,5,7,1974,H,1.485 €,,True,Grup A
William,Brown,16218169P,Regne Unit,Londres,24,2,1991,H,997 €,True,,Grup A
Marc,Castells,81901030H,Espanya,Sevilla,20,9,1970,H,1.108 €,True,,Grup A
Clara,Romero,26689120S,Espanya,València,4,1,1974,D,3.021 €,True,,Grup D
Miguel,Oliveira Pereira,69723912X,Portugal,Porto,19,4,1958,H,1.030 €,,True,Grup A
Joan,Ferrer Castells,87631058F,Espanya,Madrid,25,10,1967,H,1.249 €,True,,Grup A
Marc,Martínez Sánchez,58004635G,Espanya,Bilbao,21,12,1965,H,2.247 €,True,,Grup C
Joan,Ferrer,33400905A,Espanya,Sevilla,19,12,1970,NC,1.012 €,,True,Grup A
Youssef,Zahraoui,68343127F,Marroc,Casablanca,2,3,1998,H,1.599 €,,True,Grup A
Pau,Ferrer García,25439397A,Espanya,Barcelona,21,3,1982,H,1.270 €,,True,Grup B
Toni,Castells,99688433B,Espanya,València,1,5,1960,H,1.634 €,True,,Grup A
Marc,Ferrer Romero,16378767Z,Espanya,Madrid,9,10,1973,H,1.081 €,,True,Grup A
Laura,Schneider,74158500N,Alemanya,Hamburg,25,1,1957,D,1.368 €,,True,Grup A
Emily,Taylor Jones,89577876S,Regne Unit,Manchester,28,3,1958,D,2.033 €,,True,Grup B
Anna,Castells García,76782023V,Espanya,Bilbao,26,3,1950,D,1.465 €,True,,Grup B
Toni,Martínez,87154578D,Espanya,Bilbao,5,7,1973,H,1.643 €,True,,Grup B
Núria,Ferrer,19721783S,Espanya,Barcelona,7,12,1983,D,1.964 €,,True,Grup B
Arnau,Sánchez,99611153A,Espanya,Barcelona,16,12,1998,H,1.435 €,,True,Grup A
Toni,Sánchez Romero,84495908R,Espanya,Bilbao,18,12,1952,H,2.034 €,,True,Grup C
Arnau,López Martínez,29203160E,Espanya,València,24,1,1970,H,3.253 €,True,,Grup D
Eva,Ferrer,73063501Z,Espanya,Sevilla,4,11,1990,D,1.365 €,True,,Grup A
Pau,Sánchez,36106979Y,Espanya,Sevilla,1,2,1953,H,1.037 €,,True,Grup A
Marta,García,87257820C,Espanya,València,14,5,1976,D,1.582 €,,True,Grup B
Sara,Castro,62035858J,Colòmbia,Bogotà,4,12,1974,D,1.524 €,True,,Grup B
Clara,Martínez Romero,90389717L,Espanya,València,9,7,1973,D,1.065 €,True,,Grup A
Joan,Romero Martínez,85693556P,Espanya,Barcelona,2,11,1973,H,1.546 €,True,,Grup A
Chiara,Russo Conti,97143963K,Itàlia,Roma,6,11,1985,A,1.441 €,True,,Grup B
Marta,Castells López,27368854D,Espanya,Barcelona,9,6,1985,D,1.438 €,,True,Grup A
Anna,Ferrer,41260739H,Espanya,Sevilla,25,5,2000,D,2.164 €,,True,Grup C
Pau,Ferrer Martínez,58740246B,Espanya,Barcelona,24,12,1964,H,853 €,,True,Grup A
Alessandro,Ferrari,14098793R,Itàlia,Torí,22,7,2003,H,1.443 €,True,,Grup A
Laia,Romero Martínez,68722397X,Espanya,Barcelona,28,5,1964,D,1.015 €,,True,Grup A
Eva,Castells Romero,39929911E,Espanya,Madrid,24,1,1958,A,1.908 €,,True,Grup B
Jordi,Romero,36717144Q,Espanya,Bilbao,17,11,1969,H,1.358 €,,True,Grup B
Jean,Dubois,12118177C,França,Marsella,24,11,1970,H,1.045 €,,True,Grup A
Arnau,Romero,70806232V,Espanya,València,24,6,1976,H,772 €,,True,Grup A
